combined,sentiment
My 1st time at this place...nice and cosy venue to catch up with friends on a hot afternoon at 3.30 pm. My sister chose this venue to  meet and 3 of us (with my sister-in-law) had an hour plus of discussion. …,5
Best carrot walnut cake. Also adore the suji almond cake. It’s very lightly sweet with a hint of rose. Lots of veg and vegan options.,5
Lovely place to come on a Saturday morning. Great coffee and delicious cakes,5
Have those chocolate cravings? This is a place to eat eggless (dark) chocolate Truffle cake. Its definitely what chocolate should be rich creamy yet light and not too sweet. Its the best eggless pastry I have had in Singapore. For the …,5
"I usually come for cakes and coffee. Cakes are generally awesome, and the ang moh carrot cake won't disappoint you (if i am not wrong the carrot cake is vegan too). …",5
Great place for healthy food with veg options,5
I love coming here on Saturday morning for a good cup of coffee and a wonderful slice of cake. I love their Carrot Walnut Cake and Lemon Cloud Cake.,5
"The cakes here are really good. tried the gula melaka pandan, chocolate matcha, and red velvet cake. Chocolate matcha is very rich and pandan is very light and fresh :)",5
My weekly fix for sourdough bread!,5
Awesome brunch at Cedele! Power!,5
Great bread! Friendly cosy tidy aircond quiet relaxing high tea with attentive staff and bakery of natural yeast in romantuc ambience.,5
"Good desserts
Beetroot avocado veg burger is amazing
Friendly staff …",5
"Great place for healthy meals, whether a light refreshment or a main meal.",5
"Breads, cakes, muffins and pastries in quality consistent with what it has been.  Drop by for latte!",5
"Loved the corner window seats , fir catch up , meetings or self indulgence , not to mention good cakes , coffees and teas.",5
Nice little cafe tucked away in a corner...  Good coffee. Highly recommended!,5
Nice place nice food and amazing coffee.,5
"eat the carrot cake, and try the juices. very interesting mixes of juices.",5
My favourite place for Sunday morning snack!,5
Nice cakes....Ondeh Once & carrot cakes,5
Healthy & fresh food at reasonable prices,5
Appeasing and appetising bread for sale,5
Love their Red Velvet cake,5
Healthy breads to match your healthy soup.,5
Lovely place and your usual Cedele food,5
"Healthy meals, cakes n salads...� …",5
"Great Cakes, especially the Tiramisu!",5
My fav place on sunday!,5
Sugar free bread and yummy cakes,5
Lovely sourdough bread ❤️❤️❤️,5
Try it you never knew,5
Always good to dine at cedele,5
Excellent pastries and coffee!,5
Reliably tasty.,5
Very nice coffee,5
Buying sourdough bread,5
"Cedele is providing straws for drinks now! I remember coming to this exact outlet pre-covid using my new reusable straw for the very first time during a global move towards the reduced use of plastic straws. Many food providers, including …",5
"(Translated by Google) The cakes, bread, coffee, and salads are all great! 👍

(Original)
這家的蛋糕，麵包，咖啡，沙拉都很棒！ …",5
"Tables are far apart offering comfortable and safe ambiance.  I love the many choices of Sandwiches, Wraps/Thins and Sour dough bagel and the make your own  salad. Organic flat white and the healing garden tea are our favorite. A great place to enjoy healthy good... sandwich and salad and soup.",5
My favourite place for sourdough bread and cakes. Must try Loaded Caesar Salad 🤤 …,5
One of my favorite salad places in Singapore,5
"great selection of bases, proteins & toppings",5
"Great place to people watch while getting ur nutrients. Make your own salad or choose from one readily available options for a quick bite and recharge!
Rem to top it up w a smoothie.",5
Tried the 🍫 log cake slice for Xmas this year. Rich and creamy . Queue is served fas …,5
"If you like loud blaring music abruptly controlled by the staff, overpriced cold food and salads prepared unsanitarily, with passive aggressive service, this is the perfect place for you.",5
"Really surprised by the quality & size of this salad. Hard to get a ""healthy"" meal in Vivo. Will definitely be back.",5
"Great! Best salad I've had in Asia! A must visit if you love salad. Pricey, but worth it!",5
"Ordered for delivery. Very good salad, generous portion.",5
Nice and cosy cafe to chill and relax with friends over nice coffee/ tea and desserts.,5
I love their high protein salad. Fill you up!,5
More for improvement on service. 1st time and last to come. Good luck to all ppl working here.,5
Very tasty healthy salad bowls with many choices,5
Great place to have Salad and other healthy food,5
"Big portion, tasty food, very recommend",5
Very friendly and helpful counter lady,5
Nice and fresh food,5
My fav place for salad,5
"Big portion, healthier choices. Would come again!",5
A healthy and economical eatery with affordable price!,5
"Hard to find healthy lunch in Singapore, this is my goto for lunch",5
Nice salad stop with delicious pasta and Edamames!,5
Great Ambience. Good food,5
Love the carrot cake,5
Great carrot cake,5
Loved the Pandan cake !,5
Great serving amount!,5
Great healthy food,5
Smoked salmon is 😍 😍 …,5
Very nice place,5
Great salads,5
Generous portions,5
Amazing food,5
"(Translated by Google) I like his pure wheat bread and small desserts, as well as golden claw bread and nuclear wheat bread, as well as exquisite salads. It is very happy to eat in or take out. …",5
"Lovely cafe nested at a quiet corner of Wheelock Place. Great view at the window side table, overlooking Orchard Boulevard.
Totally surprised by the perfectly fried truffle fries… crunchy and fragrant, …",5
Came here for high tea yesterday afternoon. Wheelock place was really quiet on a Sunday and Cedele is hidden on the 3rd floor. …,5
Drop by here for quick brunch with my boy. He simply love this pancake. The portion is big here and he managed to finish the plate. Ordered their fresh juice. Refreshing and good. Quiet place and clean environment. Thank you,5
"Many vegetarian and gluten free options! If your into eating clean or having a healthy diet, this is the place for you! Food is tasty too. Nice big and spacious space. Have visit the place quite a few times! Will definitely be back there …",5
I have always appreciated the healthy and yummy food served by Cedele and have been a member for a long time now. Membership costs $30 to renew and that came with benefits such as a slice of cake and 30% discount during birthday month …,5
"We had the most lovely set dinner yesterday @cedelesingapore @wheelockplace.
😋
Elfie was so hospitable, warm and personable. We were so well taken care of fro …",5
"Their new vegan menu is superb. Wide variety of delicious choices. We have tried the super green omelette, falafel burger and cauliflower two-ways. Will be back to try other dishes.",5
"We've always been coming here ever since we discovered this hidden gem at the end of last yr, the food always has nourished me with it's great variety of alternative lattes and delightful brunch offerings to heavier filling meals with all …",5
One of the best pancakes I'd eaten - the taste of lemon in the pancakes makes it very refreshing so you won't feel sick of eating it with the sweet syrup and tasty granolas. The sausages that were add-on were fantastic as well. Ambiance was cozy too.,5
"Very nice and cozy environment, great service :) cauliflower soup is so so, beet chai is so so, turmeric latte is better.",5
"The thing I loved most is that they give the initiative for us to customize our meal. To be honest, my FAVOURITE thing there  was the sweet potato fries!!! It was so amazing- Crunchy, delicious (obviously), sweet, it's doesn't even need any sauce!! I love it. The service is also not bad! Please go there and enjoy your meals~♡",5
"Great spot for an afternoon tea. Service was quick and staff was helpful. Most importantly, the food was good, lovely cup of tea and nice coffee.  I have been a member of Cedele for many years and this will continue.",5
This is my family's favourite Cedele outlet because it is bigger and getting a table on a Sat morning is easier. My favourite eat here is the full works breakfast set. Adding on a piece if carrot cake would be perfect for me,5
Consistently good and in a nice area on Orchard. They're are countless franchises around here but this is one of my favourites. I but more expensive than the smaller version in your local mall but still reasonable. Recommended,5
"Always loved eating here.  Food's great, well prepared, service is efficient and good, ambience pleasant.  Especially love their burgers! 😋� …",5
"Staff's were friendly & polite & they greet their customer's & smile @ them and made customer's feel like their welcomed into the store unlike other cafe's food's & drink's were great & great view's from both side's of the window's , cosy & relaxing and cooling.",5
Great place. Personal favorite - beef bacon works sandwich on round rye or pumpkin bread. Looks like a burger and tastes better than many burgers in town.,5
Cedele's Chocolate Banana Espresso Cake. 1 is never enough.� …,5
"Great place for a snack and coffee with views of Orchard Road. A change from Starbucks and the like;  prices reasonable, table service.",5
"Great food, service. Never fails to be one of our top places to eat at every weekend.",5
Loved the Vegan Falafel burger. One of the best I've had in a long time.,5
Very nice food!!!!,5
Had the pumpkin n avocado salad. Yummy!!  Service was good too.,5
"Very nice bread, breakfast is tasty and quite reasonable prices.",5
I love the cakes and  loaf of bread there!,5
The best of the Cedele's in town! Great service!,5
We ate carrot cake and coffees here. Relaxing place.,5
My Mrs & my favourite hangout! Never disappoints..,5
Great relaxing place. Service is good,5
Good food and service. Thank you!,5
Love their crab pasta.,5
Great food!,5
Lovely place for afternoon tea,5
Loved the food and atmosphere,5
Love it's Carrot cake.,5
Yummy,5
Love it's place ambiance,5
Healthy food.,5
Very good.,5
"Being a firm supporter of Cedele for many years for their wide range of delicious baked goods, breads and meals. This may not be the most classy or polished location, but the reliable food items are available and it’s a convenient location at an MRT station.",4
"So we all know Celele well, we have been to all their branches.. good healthy food that keeps us coming back. …",4
Quiet corner for a cuppa & snack/meal. Service is polite and respectful. The cakes- ondeh-ondeh & Gula melaka- are special & very tasty. Their organic expresso's are a good way to chill out.,4
"The place is good. Coffee isn't the best, but there I met Pavlova dessert first time.",4
Went on a sunday afternoon and is quiet. A nice place to chill. Staff is friendly and nice,4
"I came here for their signature carrot cake , but since its lunch time , decided to order the nake beef salad . The beef is so Juicy and soft . And it just bing comfort to my soul . I don’t know why their store rating is so low . But the …",4
The shop is located in the corner of level 2 open space area. I only ever bought the bread to go from this store. The bread is nice but a little bit pricey though.,4
This place is good for healthy options and also has a wide variety of cakes and deserts. Very family friendly evironment and doesn't get too busy on weekends and peak time. Would recomend for people who are looking to eat clean and enjoy nice food at the same time...,4
"Bakery and cafe selling cakes, cookies, drinks and other snacks. Can be a bit pricy but a nice atmosphere for an informal meeting.",4
"seabass salsa sandwich was not bad, salsa packed a quiet punch and fish was fresh! Price was slightly steep ($16++) and service was average but its not a bad spot for a healthy meal",4
The drinks are good. Had turmeric latte which is non caffeine. A bit too sweet though. Blue Berry tart is pretty good as well and doesn't break when cut. Quite sturdy,4
"Staff there had some issue with their POS system and hence ordering of food was taking awhile. Customer service was great, and upon chatting with them, realized the troubles they were dealing with, which contributed to the wait time. The staff there are friendly and hardworking. Food was served pretty fast.",4
Food was really good here although I felt that the milkshake was overpriced at $8,4
"Kitchen closes earlier than the stipulated 20:30. So try and arrive before 8pm to avoid disappointment. Family personally stopped at the door by the manager, like the personal touch.",4
Good healthy tasty food that has been curated very well. People are nice too and the restaurant is bright and spacious (some form of social distancing already designed from the start) …,4
Nice food good value. Staff are busy but everything is smoothly managed. Very comfortable setting for great meal and relaxation,4
comfortable place for breakfast 🥞 👍  good and friendly service to …,4
"Cedele’s service has improved a lot in the last few months.  We quite enjoy the service and the prompt delivery. Their air conditioning is little glitchy, during the crowded weekends  it gets quite hot with poor air circulation …",4
Yummy food. Price wise a bit steep but portion was large.,4
"Friendly service. Reasonable price. Quality food. Relatively cosy place for meals, and meeting family and friends",4
Me and my family went to eat there today and there were some issues with the membership renewal. The staff there were very patient in helping out with this matter and ensured that me and my family had a great experience overall.,4
I think it is own preference. I like the environment to be spacious and easily accessible.  They do offer all day breakfast! Hearty Big Breakfast.. you can choose how you wan your egg to be.,4
"being a cedele member AND living in seletar hills estate area (so 2 min walk), it's my go-to place for meals. i like their sea bass, burger, salmon sandwich thins and the vegan burger options. salad is meh. for cakes: red velvet, carrot …",4
Food is fine but be prepared to wait 30min for your food especially during weekday lunch.,4
"Nice place to eat and hang out. Mains are good and healthy, averaging around S$15. Love the cakes and coffee. One of the cheapest places to have a glass of wine, as well.",4
"Love the soup. $8.80 for a soup + free flow bread is worth it. But if you are coming here for the main courses, they are a little overpriced.",4
Good food and great burgers. Drinks not great though and it is un-necessarily expensive.,4
Healthier choice. Friendly staff.,4
The cakes and coffee are good. Food too!,4
Nice ambient.. friendly staff.. keeping table clean and tidy in order to welcome next group of diners..,4
Good selection of healthy food in a nice cafe environment. The ambiance is very nice and the staff are friendly,4
Love the cosy corner to indulge in Cedele good food or just a simple cake set to wind down for the day,4
Good selection and I like the non caffeine drinks. And the place is nice and cool unlike the other cafe joint in the area.,4
"Healthy food, decent taste, very good ambience. Nice place for catching up with friends.",4
"Good food, nice cost little restaurant.",4
"Pretty quiet and serene, peaceful.",4
Nice and cozy place. Good selection of food and desserts,4
Nice place for small meetups. Not too crowded and nice environment,4
Family friendly branch. Nice food served at this branch.,4
Nice ambience,4
Good food. Love the Flat White coffee.,4
"Reasonable priced, fresh & wholesome menu.",4
Cosy place for coffee,4
The store manager is providing a good services,4
Good atmosphere,4
Nice vibes nice food,4
good food under staffing.,4
Nice environment and food.,4
"Good food, good atmosphere",4
Nice and cozy place to relax.,4
Good for a lazy sunday coffee,4
Good food,4
Food was delicious.,4
organic food,4
Decent food,4
Nice place,4
"Came here on a Tuesday afternoon for lunch, and the place was rather packed (almost fully seated!). Ordered the seabass with quinoa and the food was great. Seabass was fresh and the seasonings were nice. The only concern was the price (well, it's rather pricey, but you get a good fill for your tummy).",4
Had Hearty Breakfast with the scrambled eggs option and ice Rooibos lemon tea after morning hiking. …,4
"Covid-19 safety measures; We were waited for a table to place our order, 5 min waiting time is like eternity, 😅😂finally someone willing to leave after their mea …",4
"Location is nice. The staff and folks are super friendly. We ordered the eggs Benedict and French chocolate. The eggs Benedict while is Instagram worthy, it isn’t stomach worthy. Though I haven’t had a chance to try anything other than the …",4
"Brightly lit cafe in HillV2 mall with all the regular Cedele food, cake and drink offerings. During COVID-19, there is an online contactless ordering system. Food is well put together and feels healthy. Portions are reasonable for the price. A nice quiet place to have a meal or snack. Convenient parking in the mall.",4
Nice place to grab some good strong coffees and breads ! They have a nice spread of breads and cakes. Love to go for breakfast and brunches � …,4
Cedele is a good place for the weekend brunches. A good variety from healthy food to the traditional ham& eggs for the westerners. Bread and cakes are made with high quality and ingredients we can trust. Price is affordable at this spacious …,4
"Friend ordered dinner from Cedele HillV2 yesterday: Sea Bass and Prawn with Quinoa, Wild Mushroom Soup, Caesar Salad and a Sourdough loaf.. Some concerns to highlight: Sea Bass tastes or appears to be Batang/Mackerel.. we know as we cook …",4
"Spacious seating, healthy menu list and a good selection of cakes. Matcha choc n yuzu cheese is good.",4
This place is good for a coffee session after lunch in the same mall. The ambience is bright and clean. The iced latte is quite good and not diluted like some other places. The service can be slightly improved as the crew brought our order …,4
Quiet location. Went to have a slice of cheesecake half an hour before closing. Everyone was busy cleaning up and counting cash. Totally understandable. Slice of cheesecake pretty small for the price paid though. They do have bread and pastries to purchase though. Shall come again another day.,4
"Our regular breakfast haunt every month.

Had a long wait ~40mins for the food using the app while seated at the table …",4
"Very tasty, healthy menu. Would highly recommend for a light bite or coffee.",4
"Nice, quiet place. Food is good as usual. Service is a bit slow but courteous.",4
"been a cedele member for as long as i can remember, it's my go-to place for meals. i like their sea bass, burger, salmon sandwich thins and the vegan burger options. salad is meh. for cakes: red velvet, carrot walnut and matcha chocolate …",4
"Food is great! Though the ambience not so much, tables tend to be not properly cleaned either. Points for improvement :)",4
Nice cake,4
A quiet outlet that serve the neighborhood. Is a cosy outlet where you can chill and relax.,4
Good for brunch considering the portion size. Worth a try once in a while.,4
"Ondeh Ondeh cake.. delicious.
Pricey cafe but good.",4
It is a nice place to have a small gathering for a family.,4
Nice selection of free breads to go with their tasty soups.,4
"Ample seating area.
Decent food.",4
Nice food n ambiemce to congregate in private.,4
Nice cozy place and good service from staff,4
"nice environment, good serbice, nice food",4
Good,4
Cosy and nice place for brunch,4
Nice food,4
Good place for gathering,4
Delicious sourdoughs,4
Nice cakes and coffee,4
Good coffee,4
Healthy food,4
"(Translated by Google) It's quiet and quiet. If you order the soup, you can just keep bringing bread. The price is cheap and the taste is just. …",4
"(Translated by Google) suitable for brunch

(Original)
브런치하기에 적당",4
Bakery shop with in dining facilities. Situated at Waterway Point Level 1. Bread sold for takeaway. Tried Sea bass and prawn quinoa $22.00 and Cajun chicken wings $12.00,4
"Re-training for staff needed.
Personally, I’m in the service industry, and I do know the basic FnB service that we are supposed to provide for customers …",4
"Have always loved their chocolate cake. Today, my husband spat out pieces of plastic. The pieces are small but makes us wonder HOW DID THEY GET INSIDE and ARE THERE MORE PLASTIC PIECES TOO SMALL TO DETECT?! Do Cedele bakers drop the …",4
"Ordered raspberry yuzu cheesecake to celebrate my hubby’s bday. It was delicious yet a sour tangy taste. Not too sweet and just nice for the palate, will come back for more.",4
Food at Cedele outlets for me are always pretty good; Tofu Miso Pasta and Veggie Shroom Thins being some of my frequent orders. They have a decent menu with quite a few vegetarian and vegan options which is great for me (if you don't eat …,4
"Healthy selection of breads, cakes as well as a good place for coffee or tea. Vegetarian options available as well. Visited on a Sunday afternoon and seats was still readily available. Not that quiet thou as the Mall itself is pretty noisy …",4
The ambience of this place was good. The place has enough seating capacity and not busy om weekends. We ordered coffee and burger. The coffee was awesome and burger was good. Service is also good at this place,4
Surprised to see how empty the place is during weekday's dinner time. But I definitely do enjoy the pleasant peacefulness. Ordered seabass and prawn aglio olio for 22 while my friend ordered avocado on toast. Both of us enjoyed our meal but …,4
"Food and drinks were great
Service wise needs improvement though 😬
my slice of Father's day cake don't have the nice cream on top 😅 but it's yum …",4
"Chicken walnut salad is nice, cafe latte so so",4
enjoyed the pasta and had a nice study session. good atmosphere for hanging out or finishing up on some work,4
"Went on a Saturday afternoon, place was not crowded easy to look for seats.

Good - female Filipina cashier staff was patient and helpful to us although we …",4
Food qualities and ingredients are premiums and More healthy choice 👍. Organic coffee price very reasonable. Will come again for sure.  Will be even better if taste more richer with colors …,4
"been a cedele member for as long as i can remember, it's my go-to place for meals. i like their sea bass, burger, salmon sandwich thins and the vegan burger options. salad is meh. for cakes: red velvet, carrot walnut and matcha chocolate …",4
"Nice Garden Omelette, their Menu is very Catering",4
Coffee is quite good. Improved since I last taken in  Cedele. Do try Ondeh Ondeh cake.,4
Had the 'full work' breakfast in the WP branch. Enjoyed the food and coffee. Good and nice combination of food. Suggest upgrade the chair and table.,4
Gud place for healthy and veg friendly breakfast and snacks with tea or coffee. NOT quickest of service but worth good food,4
Delicious Burgers with salad or fried sweet potato as side. Likes the mushrooms wrap as well.,4
Nice place for afternoon high tea,4
Came here for a Sunday breakfast and the staff are very friendly. It makes a difference to start off the day with a good meal and friendly people.,4
"My wife loves the food in Cedele, especially their pavlova. The one in Waterway Point has lots of seats.",4
Pretty pricey for the food it serves. Quality not too bad. Be warned they charge for water.,4
Good food. OK service. A little pricer than others in the neighbourhood.,4
Good tasty food. Good for family. Friendly staff. Should provide free tap water atleast.,4
Decent food and price. Not crowded thus good to relax.,4
Food quality is good. I love the cakes and pastries.,4
"Most of the time, service is good, food is good. Still a healthy food option",4
"Very nice food, okay services, so yeah, why not.",4
Very pleasant and conducive environment for having meaningful conversation with friends.,4
A good meal on my own!,4
Tasted the blueberry and carrot muffins. It is good,4
Good chill out place with good food and coffee. Expensive though,4
"Good food, clean place and not too crowded.",4
Good service and not long queue.,4
Gluten free dish available,4
"Best cupcakes, but on the pricey side.",4
Healthy menu with lots of nice salad choices,4
Pancakes and ice cream is good,4
friendly staff and good food,4
A nice place to chill.,4
Friendly customer service.,4
"Nice salads, eggs",4
Nice,4
good for brunch,4
Nice ambience,4
"Bought raspberry yuzu cheesecake for my hubby’s bday.  Cake was not too sweet, just nice for the palate with a slight sour tangy taste. It is yummy",4
"(Translated by Google) Located within Waterway Point, a commercial facility in Punggol, the MRT's North West Line end station. Everyone was eating a set lunch, but it seemed to take time, so I ordered a single piece of bread and orange …",4
(Translated by Google) so so! The tables and chairs are comfortable and the price is not expensive. …,4
"Place has been renovated and menu has changed again, fewer vegan options but cafe is now more spacious and brighter with increased seating capacity. Prices have gone up quite a bit but the food is still good. Portions are decent. Service staff can be overwhelmed when crowd starts to form.",4
"Nice, quiet eatery with friendly staff.  We love the carrot cake here, though prices have gone up.   They also serve a variety of burgers for lunch.",4
Food Delivery - was craving for a good heathy sandwich and ordered the Spinach Lentil patty and mushroom burger - it had to be something that I can’t put together on my own. Came with a burger bun (a little dry) all nicely wrapped up and still warm.,4
"Comfortable spacious cafe selling a variety of food, including all day breakfast and gourmet sandwiches. Parking can be tricky during the weekend.",4
Cosy and comfortable environment. Nice place to have afternoon tea and muffin. Suitable for Couples and small groups discussion.,4
"Nice quiet place, go there for breakfast usually. On one occasion I ordered a cake to be picked up from there. The shop's central kitchen did not deliver on time but the shop supervisor offered me my pick from the ones on display. Save me a return trip",4
"Really good baked goods. However the entrées were subpar and provided horrendous service (no cutleries until requested, and especially unhappy facial expressions with a constantly annoyed look at customers). I've been going there weekly for …",4
"Lovely for a lazy brunch most days. Good for tea, too, but they close for the day nearer to dinner time weekdays. …",4
"Enjoyed the food there, it was delicious and worth the price!",4
"Visit on any day, the Mid-age Lady Staff has Cold Attitude toward specific group of people. She never replied to my Hello and said thanks to me. But thanks to the Caucasian customers ONLY.",4
"All day dinning cozy cafe. Nice place to have a set meal at their outdoor seating area. Bus stop nearby, parking space available but limited.",4
Nice and cosy place. The salad and cakes were good!,4
"Good food, decent prices.",4
Nice saturday breakfast place,4
Convenient Cedele outlet for the breads,4
Nice,4
Staff are nice,4
"(Translated by Google) Very very tasty breakfast
Super friendly service 😊
Can only be recommended � …",4
"(Translated by Google) There are many types of take-out bread, and the eat-in menu is substantial. There are a lot of healthy breads for allergies and I recommend them. …",4
"I like Cedele. I frequent the place for my breakfast, lunch and tea all the time. In cafes and restaurants service is important and I know it varies from place to place. It makes or breaks an establishment. Unfortunately the lady behind this counter may break it. Hope the management will help with their  attitude.",4
"Veggie Shroom & Americano. A tasty quick and simple lunch. Nice environment, not crowded or noisy. Service is quick.",4
"Visited last night! I give props to the staff Jayne and Yu Xuan - while not especially cheery, they were both patient and pleasant enough which in Singapore is not to be taken for granted. The place was real empty on a Tuesday night, with …",4
"Good healthy food 🥘 and a very reasonable price, too bad the coffee is not good ☕ …",4
"Spacious, nice ambience, consistent quality for their walnut carrot as usual. 😉 Surprisingly low traffic during weekend - thus making it a hidden quiet sanctuary if you need one during those days.  …",4
"Love the lunch set menus. Salad and the ciabatta bread are great too. Lots of vegetarian options, healthy too! Only it can get a bit crowded sometimes but worth the wait. I wish they would open till late in the night as a lot of the restaurants in Little India are open till 12 midnight. Otherwise nothing to complain about.",4
"Good customer service, clean premises!
Their bread is fresh and there is a good flow of customers to ensure that what is made is sold quickly... I look at that to get peace of mind that I will not be given items that have been sitting on the shelf for a long time.",4
The chicken avocado on walnut bap was quite tasty. Had an oat latte with hazelnut which i enjoyed too.,4
"I enjoy their coffee, sandwiches and cakes. Did I mention cakes? The chocolate fudge is fantastic -- rich dark chocolate, and moist. The best option would be to share it though, unless you're a 20-something or someone who has no qualms feeling a tad overwhelmed after.",4
The cake selections are good. They have a number of unique flavours and some they customised for festivities such as Mother's day or father's day. Do try the Gula Melaka Pandan cake when there.,4
"Can get a bit busy at times but staff are lovely. Great service, could do with four full time staff members instead of the usual three. Excellent value for money and good quality fare.",4
It is an open concept bakery. there is small seating tabels. they serve sandwichs and cakes. Service is nice. It is self service.,4
Quality and tasty food... Vegan options.. Nice place. Prices are higher... But you get quality instead � …,4
Had a quick coffee break. Coffee was good it was freshly brewed. Cool environment.,4
"Nice place to chill, good for tea time breaks.",4
Food is good and vegetarian options are available. Service standards can be improved.,4
Long black coffee dilute. Carrot cake is good!,4
Lots of seating available.,4
Kind of expensive but very nice! I like their nut milk selection and soups,4
Nice cosy place to chill and have a cuppa tea or coffee.,4
Pretty cool place and plenty of seats to sit,4
Order wild mushrooms soup. Nice view,4
"I would say, decent food and service",4
Coffee is quite good. Good selection of cakes..,4
"Decent coffee ...always busy, nice pastries",4
Good eggs and bacon for breakfast. A little on the expensive side for what is.,4
they served quite decent breakfast,4
They have some really good and healthy options.,4
Nice place for.coffee and chill,4
Great coffee...overall OK,4
"Nice, quiet place to chill.",4
enjoy the healthy options menu,4
Good coffee. Chill vibe.,4
Convenient for business talk,4
Good ambience.,4
Good coffee tea,4
Nice coffee and cakes,4
Nice little cafe,4
Good is good,4
"(Translated by Google) I liked that it was clean and had a window.

(Original)
깨끗하고 창유리로 되어있어서 좋았어요.",4
"My go-to place for cakes and coffee. Love their walnut carrot cake here, moist and not overly sweetened. Perfect.
Sweet potato fries not as crunchy as I thought it would be. Pretty good to go with the bell pepper sauce though.",4
Good food the only thing was the the kale and sweet potato hash was a tad on the small side and the raspberry sauce actually added 0 value... Other than that the dish was pretty amazing.... maybe slightly on the pricier side but good …,4
"I'm crazy about their scones: they're delicious and there are so many flavours to choose from, both savoury and sweet. At under $3 dollars each (takeaway at least), I find it very good price/quality. Only the service is a little slow and distracted.",4
"Good dessert, good food, reasonable price 👍 …",4
Rarely do I give out a 5star rating but this visit just now was so good...   thanks again to Mei for acknowledging my hurry for a quick bite...    needed something quick on the go and a caffeine top up...    she was super efficient to got …,4
"being a cedele member it's my go-to place for meals. i like their sea bass, burger, salmon sandwich thins and the vegan burger options. salad is meh. for cakes: red velvet, carrot walnut and matcha chocolate cake. for cupcakes: peanut …",4
"Food was good but much room for improvement in terms of everything else (staff attitude, service, admin etc.). …",4
Enjoy an afternoon break with a good coffee at this Cafe.,4
"Food's good!  Absolutely love it!! 👍👍 Service though, could be better.  As it is, its spotty, pity.  The supervisors provide good service with a pleasant service attitude… the others could emulate them.  …",4
"I quite enjoy the steak and daily soup with unlimited bread. You can take your break in the restaurant, indulge the atmosphere",4
"Our dinning experience is very good. Wei Lun, Johanan and team are attentive and very customer oriented despite being understaffed. Kudos",4
Good healthy options that are hard to come by in Singapore.,4
"Quality food with fresh ingredient. Usually not crowded, as price slightly higher",4
Good quality food. Cute waitress. Good place to chill,4
Pricey for simple set lunch of $28. Nice bread.,4
Nice food..,4
Food is good. Service needs to be improved,4
Nice environment and good place for coffee,4
"Friendly staff, okay pasta, great soup!",4
Staffs choose who they will serve first,4
Somewhat overpriced. Good service,4
Nice Cake and Coffee place,4
Good food.,4
Good ambience,4
Good choices,4
Good  place,4
"Nice little shop with friendly staff. Sells relatively healthy sandwiches, soups and pastries. Prices are quite steep though. Wild mushroom soup is not bad. Limited seating available",4
Not bad. Dinner rolls provided for the soup. Standard Starbucks-ish prices,4
"Nice cafe, lots of types of cakes are available",4
Nice food but a bit expensive,4
Good coffee and cake,4
Cosy little outlet that serves decent meals and coffee. The sandwiches are well prepared and ingredients are very fresh. Overall a nice place for a quick bite.,4
"Food here is actually quite good & portion sizes are reasonable. Like many F&B outlets here, they are short handed too. Customers will need to exercise some patience to get the attention of the service staff. …",4
"Very lucky to get a table without waiting on a Saturday afternoon. The dessert cheesecake with caramel sauce and vanilla ice cream is very nice, not very sweet. And the surprise one is the beef burger kids meal, the meat is juicy and my …",4
We went on Xmas day. Our first visit to Cedele at Sands. Their menu is quire different from other outlets. But we came for the tea set and we are very happy with it.  We chose the soft shell crab sliders and it was a good choice.  The …,4
"We did not dine here but ordered our favourite carrot walnut cake.

The female manager and the male cashier were friendly, while adhering strictly …",4
Cedele has always been my go to place for either a quiet meal by myself or to have deep discussions with colleagues over lunch especially at Marina Bay Sands. I like the open and unpretentious atmosphere that allows the focus to be on the …,4
"Nice ambiance, relatively easier to walk in amongst other restaurants in MBS. Average choice of food , different from the usual Cedele spread",4
Went there with my family (incl 2 kids) on Sunday afternoon ~5pm. waiting time was reasonable around 5-10 mins. Can see the there are only 2 service staff so attention to customer was average which was understandable. Each of us ordered …,4
"Tried the high tea set at $58+ for 2 pax
Have to choose between the mini beef burgers or soft-shell crab
Maybe I'm asking for too much, but I would really like to have both beef+crab …",4
"The cedele has quite a nice ambience, situated in marina Bay shoppes. Their something sweet and salty cake is quite interesting and the flavour is a good mix and sweet and salty. The chocolate cake also tastes quite delicious.  However, …",4
"Ordered the green pasta with egg - portion just right for me, simple and light. The chicken burger with sweet potato fries was quite filling for my husband..
The kids loved the fresh cold pressed juices, kids menu pasta and the fries. …",4
Service was impeccable. The full plate breakfast was too big for me but could be a good thing for some... nice relaxing ambience with a hint of class.,4
"A nice place to sit and people watch.
Food selection as well as quality was good (4/5).
Service was alright, nothing to rave about. …",4
Nice ambience with spacious seating arrangement. Service was great too. Food was served hot and substantial portion.,4
"I had very pleasant experience in dining in the restaurant. They served the food as just right temperature, the tea cup was warmed when serving, they offered individual payment per the dinner attendee, which most restaurants prefer to …",4
"Though the store has not enough manpower, the staffs are doing their best pacing up and down serving customer as best as they can, we had a longer queuing time as the seats we limited due to the pandemic. Manager Yuba had an amazing …",4
"The wait for a table was long due to the limited space they have but was definitely worth it. As soon as we were seated, waitress Yuba served us iced water and her positive energy was a delight to our tired evening. …",4
"went here for their high tea , an affordable price for a high teaa..... diff variety of choice and free flow drinks. the desserts were nice and the coffee could be better but overalls a nice high tea",4
"V nice steak n barramundi,  pasta is gd too",4
Good food,4
Nice place to have high tea,4
